country_code,postal_code_clean,city_raw,city_normalized,city_normalization_confidence,city_normalization_method,city_normalization_note,admin_region,admin_district,latitude,longitude,geonames_places_count,geonames_place_names
CZ,78344,Kníničky,Kníničky,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.587229,17.066786,7,Kníničky | Náměšť na Hané | Drahanovice | Střížov | Loučany | Lhota pod Kosířem | Ludéřov
CZ,78345,Senice na Hané,Senice na Hané,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.6281,17.07105,2,Senice na Hané | Senička
CZ,78346,Vojnice,Vojnice,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.58844,17.13158,5,Vojnice | Těšetice | Ústín | Luběnice | Rataje
CZ,78347,Hněvotín,Hněvotín,0.95,unchanged_single_place,Single GeoNames place kept as normalized city,Olomoucký kraj,Olomouc,49.5721,17.1795,1,Hněvotín
CZ,78349,Lutín,Lutín,0.95,unchanged_single_place,Single GeoNames place kept as normalized city,Olomoucký kraj,Olomouc,49.5585,17.1357,1,Lutín
CZ,78353,Velká Bystřice,Velká Bystřice,0.95,unchanged_single_place,Single GeoNames place kept as normalized city,Olomoucký kraj,Olomouc,49.5948,17.3654,1,Velká Bystřice
CZ,78354,Svésedlice,Svésedlice,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.57925,17.38105,2,Svésedlice | Přáslavice
CZ,78355,Kozlov,Kozlov,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.59125,17.50955,2,Kozlov | Velký Újezd
CZ,78356,Doloplazy,Doloplazy,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.5758,17.4125,2,Doloplazy | Kocourovec
CZ,78357,Suchonice,Suchonice,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.5397,17.399829,7,Suchonice | Lipňany | Hostkovice | Vacanovice | Přestavlky | Zákřov | Tršice
CZ,78361,Hrubá Voda,Hrubá Voda,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.64375,17.40715,2,Hrubá Voda | Hlubočky
CZ,78365,Posluchov,Posluchov,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.6176,17.3977,3,Posluchov | Mrsklesy | Mariánské Údolí
CZ,78371,Holice,Holice,0.95,unchanged_single_place,Single GeoNames place kept as normalized city,Olomoucký kraj,Olomouc,49.5738,17.2952,1,Holice
CZ,78372,Velký Týnec,Velký Týnec,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.553,17.337,3,Velký Týnec | Čechovice | Vsisko
CZ,78373,Grygov,Grygov,0.95,unchanged_single_place,Single GeoNames place kept as normalized city,Olomoucký kraj,Olomouc,49.5384,17.3089,1,Grygov
CZ,78375,Blatec,Blatec,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.501017,17.26545,12,Blatec | Nenakonice | Tučapy | Bolelouc | Rakodavy | Tážaly | Věrovany | Čertoryje | Dub nad Moravou | Drahlov | Kožušany | Charváty
CZ,78383,Pískov,Pískov,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.817083,17.068333,6,Pískov | Dědinka | Troubelice | Nová Hradečná | Lazce | Lipinka
CZ,78385,Břevenec,Břevenec,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.84405,17.1439,2,Břevenec | Šumvald
CZ,78386,Plinkout,Plinkout,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.79275,17.22405,4,Plinkout | Dlouhá Loučka | Křivá | Karlov
CZ,78391,Uničov,Uničov,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.771715,17.095354,13,Uničov | Zadní Újezd | Benkov | Brníčko | Medlov | Nová Dědina | Želechovice | Králová | Střelice | Hlivice | Horní Sukolom | Renoty | Dětřichov
CZ,78396,Haukovice,Haukovice,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.771433,17.190133,3,Haukovice | Újezd | Rybníček
CZ,78397,Pasecký Žleb,Pasecký Žleb,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.7964,17.2228,2,Pasecký Žleb | Paseka
CZ,78401,Březové,Březové,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.70616,17.11278,10,Březové | Nové Zámky | Pňovice | Strukov | Žerotín | Tři Dvory | Litovel | Unčovice | Červenka | Rozvadovice
CZ,78501,Řídeč,Řídeč,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Olomouc,49.744357,17.284114,14,Řídeč | Krakořice | Lipina | Těšíkov | Dalov | Hnojice | Šternberk | Domašov u Šternberka | Chabičov | Komárov | Babice | Lužice | Mladějovice | Hlásnice
CZ,78701,Bratrušov,Bratrušov,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Šumperk,50.00905,16.9662,4,Bratrušov | Osikov | Šumperk | Rejchartice
CZ,78801,Bedřichov,Bedřichov,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Šumperk,49.90855,17.13495,4,Bedřichov | Oskava | Mostkov | Třemešek
CZ,78803,Nový Malín,Nový Malín,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Šumperk,49.938567,17.040733,3,Nový Malín | Mladoňov | Plechy
CZ,78804,Loučky,Loučky,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Šumperk,49.91555,17.0282,4,Loučky | Horní Olešná | Dolní Olešná | Hrabišín
CZ,78805,Libina,Libina,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Šumperk,49.8582,17.1073,2,Libina | Dolní Libina
CZ,78811,Přemyslov,Přemyslov,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Šumperk,50.0848,17.091717,6,Přemyslov | Rejhotice | Kociánov | Kouty nad Desnou | Filipová | Loučná nad Desnou
CZ,78813,Vikýřovice,Vikýřovice,0.95,unchanged_single_place,Single GeoNames place kept as normalized city,Olomoucký kraj,Šumperk,49.9779,17.0123,1,Vikýřovice
CZ,78814,Rapotín,Rapotín,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Šumperk,50.009767,17.027733,3,Rapotín | Terezín | Petrov nad Desnou
CZ,78815,Ludvíkov,Ludvíkov,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Šumperk,50.032543,17.057486,7,Ludvíkov | Bukovice | Žárová | Hraběšice | Vernířovice | Velké Losiny | Maršíkov
CZ,78816,Rudoltice,Rudoltice,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Šumperk,50.001467,17.112267,3,Rudoltice | Sobotín | Klepáčov
CZ,78820,Králec,Králec,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Šumperk,49.9376,16.978,2,Králec | Dolní Studénky
CZ,78821,Sudkov,Sudkov,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Šumperk,49.91105,16.9463,2,Sudkov | Kolšov
CZ,78823,Jindřichov,Jindřichov,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Šumperk,50.072075,16.983,4,Jindřichov | Habartice | Pusté Žibřidovice | Nové Losiny
CZ,78825,Branná,Branná,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Šumperk,50.148257,17.008514,7,Branná | Alojzov | Vikantice | Šléglov | Ostružná | Ramzová | Petříkov
CZ,78832,Chrastice,Chrastice,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Šumperk,50.164833,16.9268,6,Chrastice | Nová Seninka | Vysoké Žibřidovice | Kunčice | Staré Město | Stříbrnice
CZ,78833,Vysoký Potok,Vysoký Potok,0.75,ambiguous_postal_code_kept_representative,Postal code maps to multiple GeoNames places; representative place kept,Olomoucký kraj,Šumperk,50.081479,16.89175,14,Vysoký Potok | Zlatý Potok | Křivá Voda | Kopřivná | Vysoká | Potůčník | Vojtíškov | Hanušovice | Sklené | Malá Morava | Lužná | Vlaské | Podlesí | Hynčice nad Moravou
